,Tweet,Polarity
1491, they found a way to gentrify sand,N
1492, you will be assimilated,N
1493, avikaner the wonderful winter wonderland of the new neon - skiing like mount hermon,U
1494," you have your voice now what more do you want you are terrible role models to your youth and crime that they commit
who do you think you r  your given so many opportunities at the countries expense and still you have no humility",0
1495, sindalah #climatecrisis will arrive at your door sooner or later #climateemergency,0
1496, sindalah sounds like westworld season ,U
1497, its gonna fail you geese,N
1498, who is the money behind this will or r they woke company or free company,N
1499, but if you write the wrong column it'll cost you an arm and a leg everything's double price at the embassy,0
1500, what is neon,U
1501, made to change everythingthis is reality that one get facility for upgrade downgrade extrapolate and interpolatethough there is vast use of science but science and math both accept theory of probabilitylotus king in country rule for majority for ease but fringe stopped,U
1502," how to change block the chain
",0
1503, sindalah do you offer local beheadings or does one have to go to riyadh for this special saudi attraction,0
1504, sindalah built on murdered journalists and you call that beautiful,0
1505, mlvid,U
1506, fancy slave camp,0
1507, l love neom idea and lets good hopes,P
1508, good o,P
1509, sounds like a fing dumb idea oi  awww wtf stopping chopping my leg off,0
1510, so do you do-own twitter now,U
1511, when will cryptocom finally do off-chain burns on #lunc as #binance is doing,0
1512, after watching your ad i still have no idea what it is that you do,N
1513, sindalah how tf this little island has the water or septic capacity for all that,N
1514, state of the art propaganda factory,N
1515, what is neom why is neom,U
1516, enjoy his takes and attitude,U
1517, then we can think about getting off of fossil fuels,P
1518, welcom to gattaca,U
1519," sindalah one question :
how you can play golf at c you are selling a virtual world ",U
1520, welcome to gattaca,U
1521," 

be a hero",U
1522, my yo daughter was taught about this at school a few months ago she told the teacher it reminded her of the way the people lived in wall-e even a kid can see it for what it really is,0
1523, how many dead indians will it cost,0
1524, helloineedhelpcanyouhelpmefinancially,U
1525, will there be bonesaws for everyone or just a few select friends of mbs,0
1526, surely a 'year in review' would show what progress you have made in the construction,N
1527, so is the year in review six seconds long because nothing happened or,N
1528, ho we doing on the old human rights thing in saudi arabia why would i care about bin salman's wet dream when if i were a saudi i could get executed for posting a tweet,0
1529, and the cost,N
1530, you can make places with things but they have to attract people people make places,N
1531, sindalah amzing mind blowing ,P
1532, sindalah - absolutely disgusting,N
1533, stupid advert no one cares yawn,N
1534, sindalah gross,N
1535," entire world must support iranian who are rare freedom seekers nowadays because world citizens need this victory against darkness in this very moment where dictatorships are spreading quickly
#mahsaamini
#iranianrevolution",0
1536, any electric work and camera installation call now ,U
1537, dystopia for the high-rise fans,N
1538, sindalah i wish you would had thought about la graciosa island for this project or perhaps future projects,U
1539, sindalah the turtle looks thrilled,U
1540, sindalah have you terminated your business ties with the nazi state called russian federation and all its companies and individuals,0
1541, sindalah its nice but its clearly degenerate nonsense,N
1542, sindalah who wants to raid this place me,N
1543, how old is this brain food obsessive,N
1544, it's a business backed by fossil fuel,N
1545, dystopian nightmare the company,N
1546, do you have the technology that was portrayed in this video the hifi healing bed that stimulates detoxification and natural regeneration using resonant frequency,N
1547, super lovely ,P
1548, sindalah remindmeofthis in two minutes,U
1549, still slicing heads off over there just checking,0
1550, this is exciting i want to visit,P
1551, you ad came after these posts blocking for advertising on twitter ,U
1552, disgusting how many people are going to die building this absolute soulless vanity project,0
1553, too religious,N
1554, you guys still got a soul  ,N
1555, a mirrored prison,0
1556, saudi arabia is the future ,0
1557, it looks interesting ,P
1558, is this the only company still advertising on twitter  it seems like it's every other post i'm seeing neom lol not really that bothered don't really make movies they'll never get a bean off of me for the services they are advertising pretty much a waste of money showing me,N
1559, looks like shit bro,N
1560, shame it will only be open to certain people who happen to conform to their bigoted idea of normal,0
1561, how do i secure a place to live in neom ,U
1562, you need much more snow than that for skiing,N
1563, nope,N
1564, sindalah xiino  can we go muriqi weare,U
1565, sindalah oooooooooh my i wanna go ,P
1566, so everyone's going to live in a giant line in the sand,N
1567, you disgust me,N
1568, sinister company in favour of the saudi executions to make way for your bond villain project,0
1569, how a real muslim is allesaoud  do you know mean of neom northen enemy of muslim,0
1570, therock great movies dude love em,U
1571, the hidden replies lmfao,U
1572, sindalah gross,N
1573, yes  make the change,U
1574, is this anything like that  's sicom' the love boat ,U
1575, fail fast,N
1576, we are here for all your distopian cyberpunk productions,N
1577," they've already started the foundations of the saudi one  
these structures are gunna be crazy",P
1578, how i join neom media village team,U
1579, beautiful islandwhere is it has it got any wildlife,U
1580, #heysiri show me a dystopian hell in a nasty dictatorship,0
1581, sindalah plastic crap,N
1582," when dealing with mbs dont forget
",0
1583, let's change the way you think about women first  you misogynistic cavemen,0
1584, the city where prove arabs behead you for insulting their joke of a prophet - mohammed,0
1585," just an all around terrible idea

invest today",N
1586, sindalah it will be great i saw how uae was developed i believe neom will be also nice,P
1587, worst marketing team ever,N
1588, will they have cocaine and weed there,0
1589, these year reviews are so incredibly tedious and often wrong time to be looking to the future please,N
1590, #motiontoken more you move the more you earn,U
1591, entrying of jews in holy land in the name of  is one of the identity of judgment day ,0
1592, be the change save nature,U
1593," sindalah sorry this is unreal and imoral
hope some friends never go there
some deserve but don't have to 
be rich is (if just) a reward for the value you delivered but use it for luxury well maybe not when so much injustice happens they may say a lot about elon but",0
1594, focus on your people not your dreams,0
1595, amen ,U
1596, this would take  years to build i would be death by then,N
1597, no thanks - reminds me of that jim carrey film the truman show,N
1598, sindalah the one with a view to the friday beheadings you will offer this traditional saudi attraction on the island right,0
1599, yeah :),P
1600, unable to find a relevant role is there any person who can help me with this,U
1601, elon buys twitter with saudi money and now i have to see this add every  posts ,0
1602, sindalah does the island also offer public beheadings or is that a ryiad-only attraction,0
1603, liz truss all day ,0
1604, what,N
1605, neom is the bitcoin of cities,U
1606, sindalah can't wait,P
1607, dm us,U
1608, is this sustainable desert conditions can be harsh well you guys should know better but kinda looks like a modern prison line to me,0
1609, what is neom,U
1610, where is that mirrored wall with plants on the top,U
1611, bien dit  ,U
1612, can we play cricket,U
1613, looks like a giant dystopian prison,N
1614, nice,P
1615, advertising on elons platform sorry i boycott all that pay for promoted posts and encourage others to do likewise muted,0
1616, so in slaving us in a box is a good thing now,0
1617, piss off,N
1618, no team no balls no points no smith got to be the answer kick him out,U
1619, sindalah i would like to invest in neom what is the minimum amount to invest,p
1620," #thescaleofimaginationneeded

mankind's been around a while now and all its #qualitiesneeded to get to a decent place for all its people by end  and beyond

while #coursecorrectionsneeded this project #exemplifies the #scaleofambition needed",U
1621, anyone want to buy some sandals,U
1622, as a editor the editing sucks ngl,N
1623, for the well heeled rich elite only there will be no hiding place when mother nature calls the final shots,0
1624, sindalah do you offer beheadings there too or does one have to go to ryiadh to experience this fascinating saudi tradition,0
1625, wish this ad would fuck right off,N
1626, looks everything available and affordable,P
1627, sindalah yachting is another word for high end prostitution fyi,N
1628, the elites play ground whilst the rest of the planet grinds to a halt,N
1629, neom is not real,N
1630, shithole ,N
1631, its called a smart city and its designed to enslave you,0
1632, to do this project saudis have to demolish around  thousand existing dwellings relocating  mln habitats therei believe that not enough desert to finalize the utopia project how does this project correlate with nature and existing buildings zerothe shame of you architect,U
1633, this is awesome im moving in nxt year with a hot chocolate an a sausage roll,P
1634, is the saudi government the only advertiser left on twitter cos this is all im seeing these days,0
1635," this ain't gonna be a city

it is a canal

when sea level rises it will deliver water to the inlands of saud arabia",N
1636, floating trees,U
1637," 
how much carbon is going to release in the atmosphere while creating this neom",N
1638, sindalah ah yes yachting the favorite past time of every average joe,N
1639, they forgot to add all the poor people in the cgi loitering outside the walls,N
1640, i thought neom made great scented candles they took so much of my money they can afford a private island,N
1641, built with the blood and lives of the displaced and poor workers who will not be allowed to or afford to live there  ,0
1642, nice,P
1643, why this ad is being displayed even after clicking not interested in this ad twittersupport,N
1644, another era and concept which will and is using deprived and unfortunate people from very poor rd world countries  slave labour  working on peanuts  draining their blood to achieve thier selfish visionary  concept,0
1645," logo is wef 
is there no company that's not sold it soul to these luciferians 
repent",0
1646, why i am seeing this bullshit ad all the time ,N
1647, what would u want from me what would you be expecting me to do and not do are u up for a discussion,U
1648, explain here,U
1649," sound on

how about go away forever",N
1650, dont tell me to turn my sound on to hear your commercial,N
1651, sindalah do not risk your security and waist your money think about pirates of yemen whos going to be your neighbor,0
1652, is this even real,U
1653, can't wait for the tv shows neompd csi:neom and neom -h,U
1654, this ad appears every time i refresh twitter and i still dont know or care about what it is,N
1655, erdrxrfrtcfrswc,U
1656, fake society built off slave labour very dystopian gonna wake up one day and the bones of a worker will break through one of my walls,0
1657, blocked in a fantasy world between  huge walls you can get in easily but can't get out without permission that sounds about right,N
1658, does neom is having something special for cyber security companies,U
1659, what time are the executions,0
1660, go to hell oh youre already there,N
1661, never underestimate the power of an idea this is a beautiful concept and i believe it will not only work but revolutionise the way we interact with the sea boats technology and nature forever the potential is limitless and the vision glitters like the sun on a wave,U
1662, nice,P
1663, probably spend more on the cgi than on workers in the kafala system icl,0
1664, a prison where you exist and experiences will by virtual reality,N
1665, if saudi cannot even complete the jeddah towerhow the hell can they build this,0
1666, who would even want to live in a city that's just entirely fake,N
1667, got a crazy marketing budget but i wonder how much engagement it gets compared to how it's spent ,N
1668," this nothing but a money laundering scam 
eliminate poverty in your country and invest in your existing cities before you market utopian fantasies to win over naive western liberals",N
1669, cringe on  ,N
1670, sindalah can you please stop showing your island on my feed ,N
1671, the name sounds like a race car neeeeeeoooom,N
1672, looks very sterile  not real life ,N
1673, does it have a theatre,U
1674, not this absolute joke of an architectural students project being advertised on my feed lmfao,N
1675, not much of a review is it  dull  boring,N
1676, is anyone else reading the brand name like a racecar neeeoooooooommmmm,N
1677, must feel great to be part of this twitter-chaos ad campaign  ever get the feeling youve been cheated,N
1678, is that  what mars will be   ,N
1679, shite,N
1680, sindalah i think never so sure i guess,N
1681, i'd absolutely love to work in this industry  that would be a dream come true xxx,P
1682, are you open for pride marches yet,0
1683, its not real,N
1684, hi i died constructing this who can i contact for compensation,0
1685," taps microphone

hello  is this thing on

are we still doing this

\()/",U
1686, a prison in sheep's clothing,N
1687, even the cgi is crap,N
1688,  thought-provoking ,P
1689, going hard on the marketing for the dumbest idea in the world,N
1690, complete day light robbery of saudi resources a white elephant project in the making the most ridiculous thing so far this century it showcases lack of creative  vision non functional crap,0
1691, this add makers about as much sense as this project please stop advertising this to me,N
1692, sindalah do you offer bundles with sightseeing and front row tickets for the beheadings,0
1693, neon is built on blood and inequality this cannot be the future,0
1694, should we invest now ,U
1695, sindalah built with the blood and lives of the poor and displaced  ,0
1696, sindalah re the events programme: are there weekly beheadings or only on special occasions,0
1697, sindalah this is trashy,N
1698, women can't drive or have independence in your country and you carve up journalists into pieces,0
1699, why am i seeing this repeatedly couldn't care less,N
1700, this looks like a shit idea,N
1701, sindalah why am i getting james bond super-villain vibes from this place,N
1702, sindalah is the island part of saudi arabia if so then i would probably have concerns about safety on the island and human rights once saudi arabia improves its stance and record on human rights then i (and probably also many other potential tourists) might consider visiting,0
1703, it's gonna change the way we think about empty promises for years to come so inspiring ,N
1704, can wait for my cheaply made ugly investment scam of a city to be built by slaves so rich people with less than  brain cells who don't know how to spend their money can go and be enamored by a multi billion  gimmick that doesn't provide anything to the world,U
1705, even if this is ever completed (odds are it wont be) it wont change the fact that saudi arabia is an imperialist-supported petro-monarchy which abuses the working class and our biosphere for profits,0
1706, why are you building the place where a dystopian future sci fi novel takes place,N
1707, change how we look at money that its arbitrary and imaginary that a couple guys in a room decide its value and we all must abide by that,N
1708, my brother in allah this is one of the worst ideias any human has ever had,N
1709," didn't the saudi gvmt execute  civilians  who didn't want to be relocated to make way for this

sounds like a really proud achievement",0
1710, sindalah where can i learn more about this exciting new island,P
1711, hi whatsapp ,U
1712, hi can i move there now and be the janitor,U
1713, allah is the greatest you gonna pay wallah,U
1714, projet stupide,N
1715, kbsalsaud give us an opportunity to make saudi arabia registered under world skill give mastrolee to run a world summit on skill as a part of neom,0
1716,  will teach and train the world on contious improvement towards green and sustainability,P
1717," anything that benefits the whole of humankind i'm all for if it only benefits a few then no it's just more bs
time will give us the answer",P
1718, sindalah yup going back to bed i'm so tired,N
1719, will have the world's biggest research centre for sustainability devlopmentkbsalsaud give mastrolee to set up a training and research centre on world class skill development in saudimastrolee skilling for sustainability,U
1720, skilling is the most important part of a person lifeat neom we will give the world a world class education in all the field and par excellence with innovation and researchwith the beauty of neomneom with mastrolee,U
1721, we will create a mega education city in neomin world class infrastructure mastrolee is with neomworld class education neom,U
1722, another shit that rich people can enjoy dystopian crap ,N
1723, sindalah are those sea turtles still gonna be living when all the yachts are coming through,N
1724, hell on earth,N
1725, nope,N
1726, i've seen judge dredd i know how this ends,U
1727, how lovely it would be to fly like that,P
1728, where is it the place or is it virtual,U
1729, sindalah judge gulo o foreign culture blindly e culture sath ak kore felecheresult vangon asche family ba couple der moddhe faith love sestreading bece thakbe sorirer life er,U
1730, where is the jail and place to stone lesbian ang gay people according to your law,0
1731, mystery babylon,P
1732, is there a tesco asda sainsburys lidl aldi coop,U
1733, wow you spend a lot on advertising,N
1734," made to change 
made to change what 
don't say everything",U
1735, i'am with #motiontoken,U
1736, nice,P
1737, angushackney uh oh someones stole ya name,N
1738, what does neom mean saudi is building neom city,U
1739, neom - lets make a technocratic transhumanist tyranny for you all,0
1740, sound off and bugger off,N
1741, how much people you killed this year because of political or sexuell oriantation,0
1742, sindalah why do i find this a little creepy,N
1743, #saynotoneom where come the money from,U
1744, judging by the depth of the foundations theyre digging the whole things going to blow over in a strong wind,N
1745, keep cash in the hand and keep your freedom,0
1746, sindalah for the world of rich people who have through their wealth and greed evaded covid it just sickens me looking at that add why is it on twitter,0
1747, i want to invest  dollar in this project thank you,P
1748, sports live,U
1749, is this for after you've destroyed the rest of the planet you hope to set up some dystopian technocratic nightmare run by psychopathic children of psychopathic cleptocrats sufficiently above sea level this is so idiotic the very fact you're doing it should have you certified,N
1750, ridicule,N
1751, sindalah trying to make money wanting to live there,U
1752, may allah (swt) guide your immigrant workers to jannah and those above to jahanam; for they deserve a right to a prosperous  fulfilling life as any of allah's (swt) creations they are humans not your cattle,0
1753, sindalah sindalahhhhhhh luking awesome,P
1754," da spare ich lieber in #bitcoin
fix the money fix the world",U
1755, wow that's awesome praise god,P
1756, thanks elon bun salmon,0
1757, i want to email my opinions and questions about the neom project what is the email address,U
1758," wheres it

i wanna visit it rn",P
1759,  what is this weird backronym for it's just neo  yom new day that's so much simpler and makes so much more sense it's how it's pronounced already plus like half the words in arabic start with a mim ,N
1760, thats pretty quick,U
1761, this lab is responsible for developing the omicron covid variant,0
1762, are they choc-coated cherries in that plate,U
1763, sindalah this is at the expense of who,N
1764, are these excessive adds pissing anyone else right off ,N
1765, seeking dp position,N
1766, well why is the ad so old hat,N
1767, i love how advertisers who care about their reputation have all left this disintegrating platform but the saudis are prepared to back in a mate neom is a giant distraction from the oil the climate change denials and the human rights abuses a hard no from me,0
1768, remember #beatrice #werebeatrice - same vibe,0
1769, sindalah more plastic crap in our oceans,N
1770, lets buy truly tangible assets,U
1771, are journalists welcome or will they be mortal danger,0
1772, sindalah wef agenda ,0
1773, no one wants to visit your desert people go back to building sand castles,0
1774, im guessing this is going to be like any other mega project ever tried it goes well for a tiny bit and then they either run out of budget or give up entirely,N
1775, cringe shape,N
1776, just another money making outfit preying on the weak,N
1777, stop sponsoring this hate speech platform,N
1778, the horse is dead stop flogging it,N
1779, can women use flying cars or only with their husbands,0
1780, i mean you're great and all but none of your ads makes clear what you actually promote,N
1781, your not making this look good i mean giant bikers rolling all over the place don't seem safe,N
1782, oh my god give it rest its destined to fail,N
1783, i don't want to change anything  i want the clock turned back to ,U
1784, will it change the amount of journalists being murdered,0
1785, you built a sustainable city in the desert,P
1786, sindalah the book is justified before god(by troy waters),U
1787, or you know we could actually live in nature,N
1788, not exactly full disclosure here good luck though,N
1789, a megacity with no wildlife no thanks,N
1790, neom beyond imagination,P
1791, who says we want change,N
1792, utter bollocks,N
1793, with the public money saudi govt is going to build a new city for their luxury and debauchery,0
1794, no words to express the beauty joy and enthusiasm that people working in neom are getting love to work there my salute to the great ceo,P
1795, neom is a uk wellness brand,U
1796, hope there are human rights because i dont think so,0
1797, good luck  you'll need it,N
1798," sindalah elonmusk if your algo thinks i'm the target group for whatever that is your algo is dumb

unless you are planning to send a few millions to me as a christmas gift",0
1799, you even didn't try to hide the pentagram,N
1800," evict sajid now
bb we want ankit back",0
1801, more like lovelock gia theory,U
1802, what an absolute binfest,N
1803, hi dear,U
1804, ton aus,U
1805, yep glorified box city for  million ppl relegated to serve the luxury seeking tourists thatll revel in the jeweled sea   amenties the mountains with the ski resort  ehatever else is in the pipeline that the city ppl wont be able to afford sounds wonderful ,N
1806, yes and the other wise men said get goldson to ,N
1807, lol ich muss so lachen,U
1808, saudi ads be running like mad on musk twitter go figure ,0
1809, amazing ,P
1810, im gay am i allowed to set foot in neom,0
1811, we will be given a choice about this however i do not choose this life,N
1812, elonmusk since morning i have disliked this advert atleast  times still being pushed relentlessly something wrong with algo,0
1813, but will you finally be able to flush toilet paper down the loo in neom,U
1814, i think youre mixing up volumetric and virtual production,U
1815, very nice,P
1816, nice,P
1817, disgusting,N
1818, good work,P
1819, give me  flat there,P
1820," sindalah looks pretty shitty in all honesty 

my local beaches look way better than this",N
1821, you will own nothing and be happy welcome to the wef dystopian future,0
1822, sindalah sooooon the sealevel will rise,N
1823, never going to happen ,N
1824, how many people must die if #neom can have his #greatreset  which rich guy give his money to your company #agenda,0
1825, sindalah can i book a trip for ,P
1826, do you have any student exchange positions or an internship program im a masters student in it-management ,U
1827, beware of this company,N
1828," will god make everyone wear certain outfits in neom
will you still punish women when they get raped
will neom enslave workers in new exciting ways",0
1829, pretty sick of seeing these incessant ads for this saudi scam on elons twitter,0
1830, france deport the lot back to kurdish lands,0
1831, sindalah incredible works happening all over there,P
1832, well hollywood can use green screens to fill in the rest of the city that will never be finished,U
1833, since elon has taken over i've been getting ai bull shyt in my feed everyoje wonders if elon is for humanity or for the globalists bs what does this tell you i think it's pretty clear nothing is a coincidence,0
1834, it's a dream city of the future,P
1835, yeah literally ,N 
1836, they should make a city which can survive apocalyptic world earthquake tsunami nuke proof and self sustainable city if these requirements are full filled the value of the city will sky rocket many western rick people and other asian rich will buy citizen ship,N
1837, are gays allowed,0
1838, pretty sure this is the set for the series netflix  brilliant show too there is a behind the scenes of the making of it you should check out if you wanna know how it all works and see it in use,N
1839, i am interested to take part in neom project being an engineering professional please support to know sources of recruitment,P
1840, sindalah disgraceful project,N
1841," even in chop chop square  

allowing hindu temples in  saudi arabia 

converting a radical wahabi islamic dictatorship country into a secular democratic country ",0
1842, neom sounds like a fantastic opportunity for any business,P
1843, we watch bb for shiv,U
1844, alhamdulillah i am so excited  everyone is doing such a good job  much love ,P
1845, does the welcome kit include bonesaws and acid,0
1846, why the hell do i keep seeing this,N
1847, very cool of mohammed the ski resort area is my favorite,P
1848, dude promote this only in uae dont come to our country and make us believe this foolish ideas running out of oil and now into top money making business with tourism,N
1849, for the mega rich built with the blood and lives of the poor and displaced  ,0
1850, search for the original author ,U
1851, dreckspack,N
1852, sindalah will they be chopping up journalists and dissolving them in acid in neom too or is that only available at saudi consulates,0
1853," glass box in the middle of a desert where people can live and work oblivious to their surroundings history and ecological context is what neom is 
a risky venture nonetheless",N
1854," christmas
jesus was born
whereas the definition of god says 
god doesnt take birth from a mother
lord kabir appeared on a lotus flower he does not take birth from a mothers womb


kabir is god",0
1855, pity jeddah tower is still not compete and you house all builders in something the nazis would be proud of,0
1856, sindalah coordinates please,U
1857, a country that can't give women any rights talking about change ,0
1858, brilliant initiative looking forward to this,P
1859, sindalah coordinates please,U
1860, your customer service is horrendous ive emailed held in the phone for hours and yet you have still posted my order to the wrong address so bad,U
1861, twittter is trying to push this shit form saudi the modern day hub of international slavery,0
1862, great advertisement bravo ,P
1863, like epstein island,0
1864, sindalah nwo prison island,0
1865, will the women lgbtq different races ages religions have equal rights here,0
1866, you will eat ze bugs and you will be happy,N
1867, how to establish a film production company in neom,u
1868, i hope this project succeeds,P
1869, this advert tells no one anything,N
1870, sindalah the same big corporations that say sea levels are rising are the same corporations that spend hundreds of millions of dollars in a luxury island by the sea right,N
1871, sindalah can i bring my bible please ,U
1872, sindalah das ist das was die welt braucht,U
1873, let's not forget the idiotic way of moving supplies around the buildings,U
1874, bullshit,N
1875, sindalah move on mbs top job,0
1876, looks like a dystopian nightmare,N
1877, this thing ain't gonna happen ,N
1878, give women equal rights,0
1879, congratulations,P
1880, what is in it on every thursday night,U
1881, looks like a prison wall oh and you cant unalive me because im not your citizen,0
1882, thanks ,P
1883, dumbest idea ever,N
1884, loving it  #technologysurround us,P
1885, good effort wishing great success,P
1886, the legacy law foundation  sept   #icantoo ,P
1887, no promoted tweets get sound on dipstick,U
1888, i work with a uk team with decades of experience developing embedded and iot devices for smart homes/buildings/cities how would we connect with you ,U
1889, no thanks,N
1890, mohamme i hope to be employed in it,P
1891, elonmusk despite selecting not interested in this ad i am still getting it in timeline,0
1892, wef agenda ,0
1893, pinwheelinghoca i thought it was you  check out the video,U
1894, blind folded or hand cuffs,0
1895," i wont job 
genrator tecnation",P
1896, how can i make change through this,U
1897, sindalah aint u kill some indigenous people to get that island,0
1898, this is beautiful we will also need another version that is underground as well as underwater as protection against nuclear war and other existential threats world peaceunity in humanity #projectcontinuity,U
1899, every time i select im not interested in this ad it still appears at the top of my fucking timeline if i wanted to be informed of a murderous dictators vanity infrastructure projects id watch nazi megastructures on national geographic,0
1900, neontaster i thought this was you,U
1901, fuck this add,N
1902,"  totalitarian control
no thanks
i choose to be where the wild things are",0
1903, stupid advert no idea what neom is after watching don't care looks like some poorly thought out woke utopian bullshit,N
1904, sindalah how many rich peoples wet dreams do we have to build half way through in order to stop doing it palm tree islands cosmos islands the line just saying,N
1905, sindalah guys follow me,U
1906, not human nature though dystopian nightmare organisation,N
1907, mxhnxzz  thought provoking,P
1908, i am waiting,u
1909, lovely design ,p
1910, but how is the craft beer scene,u
1911, like,P
1912, sindalah ah yes the people's yachting community for the common man ,U
1913, sindalah was a nature reserve,N
1914, sindalah kagaz ka sher,U
1915, sindalah how much it costs for a small yacht to transit the suez canal does it worth it,U
1916, sindalah i prefer less luxury and more natural beauty,N
1917, neom = the city of sheytane,U
1918, sindalah good,P
1919, neom its like the hell  tfou alikoum ,N
1920, five fucking times i've said i don't want this ad elonmusk - you've fucked shit up,0
1921, creepy,N
1922, wheres my parcel ,U
1923, you guys book dj's on the islands,U
1924, these are so outrageously stupid i can bet with  certainty theyll never be built not to mention it would be an absurd waste of money,N
1925, what is the furthest one would have to travel to see a public beheading,0
1926, ton aus,U
1927, we are the prophecy of the  seed ciders,U
1928, can it change water into wine if it can't then i'm not interested,N
1929, motiontoken has started ios   testing,U
1930, hi hello sir please waiting job corps,U
1931, very nice,P
1932, i think this is really exciting for the people that want to live like this i myself couldnt think of anything worse and hope to fuck you can leave me out of this nonsense,N
1933, sindalah mxhnxzz please,U
1934, nice,P
1935, why is the first tweet on my feed an advertisement twittersupport,N
1936, sorry no way ill ever vacay in wahibi domain stop wasting ad money and send it to amnesty international please thanks,N
1937,"  

shithole ",N
1938, gfy with your wef shit,0
1939, abdul rahim al huwaiti doesn't like this shitty city,N
1940, except saudi arabia's appalling human rights record and opposition to democracy,0
1941, all i need is another drink,N
1942, neom is another leftist con job,N
1943, building monuments to insanity in the desert i guess not much has changed since the days of the pyramids,N
1944, an aspiration project billions of dollars earmarked for the project saudi the next destination watching how the once strict economy is getting liberalised to stay relevant #saudi #neom #neom,N
1945, pick,U
1946, looking forward to the big bmx guys,P
1947, look at this bruhhh maverick,U
1948, sindalah why do i keep seeing your these ads no idea nor do i care what neom is,N
1949," burning millions of barrels of oil producing trillions of tons of climate changing gasses for another failed project
who in their right mind would allow stone age dessert wandering knuckle daggers to do this to our planet 
good to see the un standing up against this",N
1950, sindalah this bastard is hiding it's tweet impressiona,N
1951, sindalah keep safe and keep up the excellent work,P
1952, beat it you dirtbags,N
1953, sindalah yes it's complicate ,U
1954, i'm working on this project ,P
1955, sindalah i'm working here ,P
1956, cashless society no never prefer,N
1957, since this shows for everyone hey everyone follow me,U
1958, hi neom we organise south asia's biggest borderless internationally travelling film festival- indusvalleyfilm indus valley international film festival (iviff) which travels through multiple cities in south asia every year we would like to explore partnership opportunities,U
1959, sindalah is that where the slaves are able to serve their masters,0
1960, there is nothing little or village here ,N
1961," walk and chew gum people 
walk and chew gum",N
1962, nope,N
1963, do we have to follow the sharia law to live in this town,0
1964, sindalah how crass,N
1965, don't want keys in my sector's thank-you people could end up with sepsus,n
1966, why have you put dedicated coconut on the mountains ,U
1967, how do you know the ocean is clear  it can't be if it has crystals in it ,N
1968, ectolife is the other factory making the future better,U
1969," globalist herding
how about releasing the thousands of suppressed patents on authentic free clean energy and health and perhaps humanity could do better than forever scamming the population on shallow agendas",N
1970," #isjesusgod
jesus was the son of god
supreme god neither takes birth from a mother nor does he die he is eternal but jesus took birth and died at the cross jesus is not the lord

kabir is supremegod",U
1971, so cap,N
1972, how many more tribal communities did yall kill for this again,0
1973," another good video
",P
1974," good video go watch guys
",P
1975, and i think that their can be more possible when we stay focussed on getting materials out of the sky or heavens think about the magicians and musicians which could imagine the showers of astereoides it will come back with respect renaturealize,U
1976, sindalah my cousin went there a few months ago he was never seen again,N
1977, good envening ,U
1978, including tolerating gays,0
1979, sindalah if you support the protesting people of iran after the destruction of the terrorist regime of the mullahs i will bring all  million iranians to your island iran has a lot of wealth that the mullahs have looted  be the voice of the people of iran death to the dictator ,0
1980, you have too many followers to communicate with any of them,N
1981, not for the better though,N
1982, hey what about rights for the lgbtqia community,0
1983, ray ebs,U
1984, what a load of ,N
1985, is this for real or just some elaborate arg,N
1986, thought that was a john denver song lyrics,N
1987, blocked,N
1988, listen to trashfuturepod to learn about the total scam neom is,N
1989, sindalah this is a joke build democracy first,0
1990, so you can stream the execution of infidels in hi-def,0
1991, how exactly do they provide enough water for plants food and water for residents and who is maintaining all of this infrastructure and also being fed and housed in slums nearby,0
1992, i don't want everything changed i want you to put it back the way it was,N
1993, still slicing heads off over there just checking,0
1994, made to change everything  especially the climate,N
1995, as a / survivor not even if i were paid to film there  ever,0
1996, i hope really soon you (richs millionaires billionaires trilionaires politicians) can go out of this planet leave it for us the people,N
1997, no it's not,N
1998," do retweet  like 

#mohanlal #malaikottaivaliban #ljp 

",N
1999, don't say me this is another crypto,N
2000, okiy livingz,U
2001, the target by david baldacci,U
2002, sindalah but are your work practices ethical,0
2003, what about focusing on the basics first: end saudis complete disregard of womens rights,0
2004, neonman wants to know your location,U
2005,"  santa hats
showmethemoony 
alwayswins",U
2006, sindalah looks great   do tell though:  is the island self sufficient with food water and energy  where does the building material come from abd the sewage go,N
2007," #biblefacts
 purna paramatma is born beyond death he is not born from mother's womb nor is his death hoti hai even a holy spirit like jesus died a painful death phir aam insaan ka kaise rechha ho sato hai ",U
2008, where are the facilities to publicly stone amputate or flog people where are the gates to lock school girls in burning buildings you do have a body chopping facility right right,0
2009," no never  #neom 
",N
2010, it is indian pl  but pay the highest bids to overseas players rename it world pl,0
2011, no thank-you ,N
2012," long way to go for a sound stage  and i'm guessing the backlots are sandy
not always the facilities it's the people that work there that's the clincher",N
2013, amazing,P
2014, bombay begum season ,U
2015, bullshit,N
2016, sindalah glad to know the yachting community is catered for its about time,N
2017, #motiontoken is the next x gem,U
2018, mystery babylon,P
2019, come live in a wall in the sand ,N
2020, are there any rooms for dismembering journalists,0
2021, what about human rights does it have human rights,0
2022, sindalah ohi seeit will be accessible to all will it or just the 'chosen' few,0
2023, sindalah in #saudiarabia the woman need to cover herself with bags from head to bottom: how in #neon you show woman dressed normal and not in your beduin style and how it comes all the woman are blond good looking that its not a real characteristic of your population,0
2024, sindalah do you know what made him so impressed ,U
2025, sindalah up r  mm  mi  no no   by  by              all  no    nj nn,U
